Molecular_Weight,Polar_Area,Complexity,XLogP,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count,SMILES
-0.5616655005912046,-0.3151140626394234,-0.45771980445317506,-0.3,-0.3688454880429324,-0.35316915326536946,-0.11158235789285778,CC(=O)OC(CC(=O)O)C[N+](C)(C)C
-0.5657469099010007,-0.1529935902820195,-0.4529657203328255,2.3,-0.5734327250696595,-0.35316915326536946,-0.6511552367873044,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl
-0.8159203953458415,-0.6833591355655265,-0.6602437879800668,1.5,-0.5734327250696595,-0.8506520437508999,-0.5612264236382299,C(CCl)Cl
-0.8604777928403614,-0.5664007947933994,-0.6564405206837871,-0.1,-0.3688454880429324,-0.7262813211295173,-0.5612264236382299,C(CCl)O
-0.7019790395847875,-0.2514238770704433,-0.51476881389737,-0.1,-0.16425825101620534,-0.35316915326536946,-0.38136879734008106,CC(C)(CO)C(=O)C(=O)O
-0.6584601071809257,-0.16109961389988967,-0.5442441354435372,-1.6,0.24491622303724883,-0.22879843064398686,-0.5612264236382299,C1C(C(C(OC1O)CO)O)O
-0.6972214204485162,-0.1344655362983162,-0.5318835167306284,-1.0,0.04032898601052175,-0.22879843064398686,-0.29143998419100664,C(CC(=O)O)C(C(=O)O)O
-0.7745025434742417,-0.36838221784257036,-0.5566047541564462,0.7,-0.3688454880429324,-0.47753987588675206,-0.4712976104891555,CC(C)C(=O)C(=O)O
-0.7020756409885697,-0.15241458859502874,-0.503359012008531,-0.9,-0.16425825101620534,-0.22879843064398686,-0.29143998419100664,C(CC(=O)O)C(=O)C(=O)O
-0.6612615478906083,-0.5664007947933994,-0.5736243753072976,3.1,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,C1=CC(=C(C=C1Cl)O)Cl
-0.7406220161327447,-0.36838221784257036,-0.5461457690916771,0.9,-0.3688454880429324,-0.47753987588675206,-0.38136879734008106,CC(C)CC(=O)C(=O)O
-0.6682168489629237,-0.15241458859502874,-0.49194921011969195,-0.5,-0.16425825101620534,-0.22879843064398686,-0.20151117104193222,C(CC(=O)C(=O)O)CC(=O)O
-0.8083613354998878,-0.36838221784257036,-0.5755260089554374,-0.4,-0.3688454880429324,-0.47753987588675206,-0.4712976104891555,CC(=O)CC(=O)O
-0.6922464481537351,-0.46739150631798493,-0.5461457690916771,1.8,-0.3688454880429324,-0.6019105985081347,-0.38136879734008106,C1=CC=C(C=C1)CCC(=O)O
-0.8058738493524972,-0.31685106770039556,-0.6063324740553027,-3.2,-0.16425825101620534,-0.47753987588675206,-0.38136879734008106,C(CC(=O)O)CN
-0.7599881825559727,-0.46739150631798493,-0.5774276426035773,1.4,-0.3688454880429324,-0.6019105985081347,-0.5612264236382299,C1=CC(=CC=C1C=O)O
-0.6874646786665183,-0.3504331655458578,-0.5366376008509779,0.8,-0.16425825101620534,-0.47753987588675206,-0.4712976104891555,C1=CC(=CC=C1CC(=O)O)O
-0.7382287163540419,-0.217841779224981,-0.5508998532120266,-3.8,-0.16425825101620534,-0.35316915326536946,-0.29143998419100664,C(CC(=O)O)C(=O)CN
-0.5230732397802329,-0.10841046038373342,-0.4073265127774696,-1.2,0.24491622303724883,-0.35316915326536946,-0.38136879734008106,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
-0.9050110399839356,-0.4488634523342816,-0.6602437879800668,-1.4,-0.16425825101620534,-0.6019105985081347,-0.5612264236382299,C(CO)O
-0.912328596320434,-0.45117945908224444,-0.6417028599107035,0.4,-0.5734327250696595,-0.6019105985081347,-0.6511552367873044,CC(=O)[O-]
-0.9098894108749346,-0.46739150631798493,-0.6364733673783189,-0.2,-0.3688454880429324,-0.6019105985081347,-0.6511552367873044,CC(=O)O
-0.9485299723877973,-0.584349847090112,-0.6561552756365662,-0.3,-0.5734327250696595,-0.7262813211295173,-0.6511552367873044,CC=O
-0.9122561452675975,-0.4338094084725226,-0.6345717337301792,-0.9,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,CC(=O)N
-0.8421235261217515,-0.46739150631798493,-0.6102308230339893,-0.3,-0.3688454880429324,-0.6019105985081347,-0.5612264236382299,CC(C(=O)C)O
-0.9146470300112058,-0.584349847090112,-0.6409422064514476,-0.1,-0.5734327250696595,-0.7262813211295173,-0.6511552367873044,CC(=O)C
-0.5980600794661323,-0.08119738109516918,-0.45201490350875556,-1.8,0.04032898601052175,-0.22879843064398686,-0.20151117104193222,CC(=O)NC(CCC(=O)O)C(=O)O
-0.7018099871281688,-0.531081691886965,-0.5566047541564462,0.2,-0.5734327250696595,-0.6019105985081347,-0.29143998419100664,CC(=O)OCC[N+](C)(C)C
-0.7285685759758261,-0.2172627775379903,-0.5451949522676072,-0.1,-0.16425825101620534,-0.35316915326536946,-0.6511552367873044,C1=NC2=NC=NC(=C2N1)N
-0.7019790395847875,-0.2514238770704433,-0.5575555709805161,0.1,-0.16425825101620534,-0.35316915326536946,-0.20151117104193222,C(CCC(=O)O)CC(=O)O
-0.7404988493429225,-0.1599416105259082,-0.5851292588785436,-1.5,0.04032898601052175,-0.6019105985081347,-0.29143998419100664,C(CCN=C(N)N)CN
-0.6730469191520315,-0.02908722926600364,-0.45201490350875556,-2.2,0.24491622303724883,-0.47753987588675206,-0.5612264236382299,C1(C(=O)NC(=O)N1)NC(=O)N
-0.619819545668063,-0.04645727987572549,-0.5223753484899293,-2.6,0.4495034600639759,-0.10442770802260426,-0.5612264236382299,C(C1C(C(C(C(O1)O)O)O)O)O
-0.19878232728353237,-0.1344655362983162,-0.2551958209262833,3.2,0.04032898601052175,-0.22879843064398686,0.5179193341506633,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
-1.0137818056075498,-0.6775691186956192,-0.6659486889244863,-0.7,-0.3688454880429324,-0.7262813211295173,-0.6511552367873044,N
-1.0113474502322395,-0.6775691186956192,-0.6659486889244863,-0.7,-0.3688454880429324,-0.8506520437508999,-0.6511552367873044,[NH4+]
-0.7237143554357728,-0.31685106770039556,-0.5366376008509779,1.2,-0.16425825101620534,-0.47753987588675206,-0.5612264236382299,C1=CC=C(C(=C1)C(=O)O)N
-0.6342131548316045,0.05776302378260559,-0.4986049278881814,-4.2,0.24491622303724883,-0.35316915326536946,-0.20151117104193222,C(CC(C(=O)O)N)CN=C(N)N
-0.08889823048132893,-0.4668125046309942,-0.2276221330282558,6.0,-0.3688454880429324,-0.35316915326536946,0.1582040815543655,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
-0.8397567917290888,-0.31685106770039556,-0.6157455606135949,-3.0,-0.16425825101620534,-0.47753987588675206,-0.4712976104891555,C(CN)C(=O)O
-0.8662738770672908,-0.6833591355655265,-0.6512110281514026,2.1,-0.5734327250696595,-0.8506520437508999,-0.6511552367873044,C1=CC=CC=C1
-0.7599881825559727,-0.46739150631798493,-0.5680145560452852,1.9,-0.3688454880429324,-0.6019105985081347,-0.5612264236382299,C1=CC=C(C=C1)C(=O)O
-0.7937503731778365,-0.5664007947933994,-0.6132734368710131,1.1,-0.3688454880429324,-0.7262813211295173,-0.5612264236382299,C1=CC=C(C=C1)CO
-0.7719909069759056,-0.45117945908224444,-0.5826571351359617,0.5,-0.5734327250696595,-0.6019105985081347,-0.5612264236382299,C[N+](C)(C)CC(=O)[O-]
-0.7695758718813517,-0.46739150631798493,-0.5774276426035773,-0.1,-0.3688454880429324,-0.6019105985081347,-0.4712976104891555,C[N+](C)(C)CC(=O)O
-0.8595117788025397,-0.6833591355655265,-0.6659486889244863,1.0,-0.3688454880429324,-0.8506520437508999,-0.6511552367873044,Br
-0.8807640876346142,-0.584349847090112,-0.6423684316875524,0.9,-0.5734327250696595,-0.7262813211295173,-0.4712976104891555,CCCC=O
-0.8372693055816981,-0.4488634523342816,-0.6369487757903539,-0.9,-0.16425825101620534,-0.6019105985081347,-0.5612264236382299,CC(C(C)O)O
-0.8759098670945609,-0.5664007947933994,-0.6534929885291704,0.9,-0.3688454880429324,-0.7262813211295173,-0.4712976104891555,CCCCO
-0.8421235261217515,-0.46739150631798493,-0.6188832561330255,0.8,-0.3688454880429324,-0.6019105985081347,-0.4712976104891555,CCCC(=O)O
-0.948628988826674,-0.48591956030168815,-0.648548741044007,0.9,-0.5734327250696595,-0.6019105985081347,-0.6511552367873044,C(=O)=O
-0.9872671353044422,-0.6775691186956192,-0.6564405206837871,0.7,-0.5734327250696595,-0.7262813211295173,-0.6511552367873044,[C-]#[O+]
-0.9437602780760533,-0.46739150631798493,-0.6561552756365662,-0.2,-0.3688454880429324,-0.6019105985081347,-0.6511552367873044,C(=O)O
-0.6656086110608055,-0.3336421166231267,-0.5385392344991178,-0.2,-0.3688454880429324,-0.47753987588675206,-0.38136879734008106,C[N+](C)(C)CC(CC(=O)[O-])O
-0.7889927540415652,-0.4488634523342816,-0.6061423106904887,0.9,-0.16425825101620534,-0.6019105985081347,-0.6511552367873044,C1=CC=C(C(=C1)O)O
-1.016167860280969,-0.6833591355655265,-0.6659486889244863,0.6,-0.5734327250696595,-0.8506520437508999,-0.6511552367873044,C
-0.826691451867552,-0.46739150631798493,-0.625158647171887,0.2,-0.3688454880429324,-0.6019105985081347,-0.5612264236382299,C(C(=O)O)Cl
-0.8033380625032155,-0.5664007947933994,-0.6217357066052352,-0.4,-0.3688454880429324,-0.7262813211295173,-0.4712976104891555,C[N+](C)(C)CCO
-0.5909357259371981,0.08092309126223472,-0.45011326986061573,-1.7,0.24491622303724883,0.019943014598778355,-0.20151117104193222,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
-0.9692992742009611,-0.6833591355655265,-0.6659486889244863,0.8,-0.5734327250696595,-0.7262813211295173,-0.6511552367873044,[Cl-]
-0.9668600887554616,-0.6833591355655265,-0.6659486889244863,0.8,-0.3688454880429324,-0.8506520437508999,-0.6511552367873044,Cl
-0.27437292574307015,0.32989381666824785,-0.16106495534336177,-3.4,0.4495034600639759,0.14431373722016097,-0.29143998419100664,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O
-0.7019790395847875,-0.531081691886965,-0.47958859140678306,1.4,-0.5734327250696595,-0.6019105985081347,-0.6511552367873044,C1=CC=C2C(=C1)C=CC(=O)O2
